date,n_eligible_assets,avg_entropy_factor,avg_volatility
2019-07-31,99,0.08110694645049264,0.35908541460033444
2019-08-30,99,0.08424090865393492,0.3676699343218946
2019-09-30,99,0.08250868700041439,0.3650055612377256
2019-10-31,100,0.08019833981936374,0.3465794621254548
2019-11-29,100,0.08034260692894611,0.34185145435271347
2019-12-30,100,0.07846433799376266,0.3397347823997874
2020-01-31,100,0.07838275422446765,0.3366606047993099
2020-02-28,107,0.08436111491875267,0.35162974081953713
2020-03-31,107,0.12714015467008205,0.5907885478180366
2020-04-30,107,0.14045900144123366,0.6211477682725596
2020-05-29,114,0.1524254180029331,0.6467856593491313
2020-06-30,114,0.15896425769067454,0.6530123928855514
2020-07-31,114,0.15961466264529478,0.649002874769117
2020-08-31,114,0.1618413370920609,0.6434911860207959
2020-09-30,114,0.1624161902507727,0.6442326167267672
2020-10-30,114,0.16240192228322284,0.646238249068906
2020-11-30,114,0.13500516753525962,0.6515945016745274
2020-12-30,114,0.11864874212947962,0.652163231648728
2021-01-29,114,0.10862196478564669,0.6541242113455193
2021-02-26,121,0.10274001495078727,0.6427276532494216
2021-03-31,121,0.10626038697131687,0.5390997530465527
2021-04-30,121,0.10411248113849891,0.486719278171649
2021-05-31,124,0.10442998605997031,0.457554467849239
2021-06-30,124,0.1035646883979769,0.447077106931606
2021-07-30,124,0.09835403369405468,0.4365405310153399
2021-08-31,124,0.09876006070728593,0.4345142565528164
2021-09-30,124,0.10009144277099115,0.4384335987223144
2021-10-29,124,0.10298223263335472,0.4458522443209387
2021-11-30,124,0.10184440977536191,0.4435851064116762
2021-12-30,124,0.10291732736293807,0.44397309791456413
2022-01-31,124,0.1039835568055757,0.4457918764603477
2022-02-25,104,0.09803349711068511,0.40518572306381845
2022-03-31,104,0.10384759885421048,0.4072252810245882
2022-04-29,104,0.10406937500535593,0.4074332938544767
2022-05-31,104,0.10492854481097419,0.4120907072859851
2022-06-30,104,0.10406581244887156,0.41701032986964953
2022-07-29,104,0.100809626792578,0.41647308923203974
2022-08-31,104,0.10126622764477079,0.42314450343054244
2022-09-30,104,0.10128997822971958,0.4224849597361231
2022-10-31,104,0.10466026030411621,0.42650096128708714
2022-11-30,104,0.10556645355457626,0.4336064980013487
2022-12-29,104,0.10839802839868727,0.4375725451600224
2023-01-31,104,0.10883500517727862,0.4456012039865075
2023-02-28,102,0.10782038611937961,0.441691996073074
2023-03-31,102,0.10986419419109585,0.443597136568479
2023-04-28,102,0.10859892587568973,0.446425007643648
2023-05-31,106,0.1080292810736074,0.4401341452513523
2023-06-30,106,0.10624399678080447,0.43947430690822603
2023-07-31,106,0.0994839812679887,0.4335616384315063
2023-08-31,106,0.09567319027448408,0.42610653274817284
2023-09-29,106,0.09117992685000008,0.4205636827834212
2023-10-31,106,0.09014923316247779,0.4129282875773455
2023-11-30,106,0.08873462715268851,0.3997607605818185
2023-12-28,106,0.08564253185144902,0.39041513525330573
2024-01-31,106,0.0830823121156805,0.374855445007969
2024-02-29,106,0.08212944337260536,0.3704887433545077
2024-03-28,96,0.0816658613435211,0.3526167638670776
2024-04-30,96,0.08206539564951894,0.346636892463932
2024-05-31,96,0.08153062334766382,0.33780939664420434
2024-06-28,96,0.08067541654146848,0.3326983890162618
2024-07-31,96,0.07725783876952137,0.3324017789711314
2024-08-30,96,0.07867754247159908,0.33759295497495395
2024-09-17,96,0.07796867638863368,0.3364897141305947
