ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
0,932327275;0,93029131;0,905945393;0,814351313;16/09/2011
0,9300572;0,920884426;0,905718435;0,814809925;19/09/2011
0,929889268;0,913737753;0,904445877;0,807863876;20/09/2011
0,930230304;0,908218115;0,904815534;0,804694906;21/09/2011
0,890278006;0,864782775;0,864219852;0,770882039;22/09/2011
0,881946353;0,868126978;0,854815077;0,767420446;23/09/2011
0,885079189;0,873151147;0,85852864;0,771202661;26/09/2011
0,893631041;0,878510797;0,863827438;0,772905344;27/09/2011
0,889460248;0,870426252;0,85702225;0,764957628;28/09/2011
0,893315695;0,87140328;0,860734964;0,769335519;29/09/2011
0,888059969;0,856987147;0,857838225;0,766432467;30/09/2011
0,869398949;0,834637737;0,840324471;0,751749382;03/10/2011
0,862423308;0,835559597;0,832632908;0,743316601;04/10/2011
0,867116583;0,836803452;0,833722484;0,744411198;05/10/2011
0,877519534;0,853435025;0,840962147;0,751519701;06/10/2011
0,868035497;0,838362749;0,828985275;0,741390232;07/10/2011
0,892705715;0,864207427;0,854734706;0,766113594;10/10/2011
0,893335432;0,869037415;0,85877358;0,771759834;11/10/2011
0,906266483;0,886762389;0,86877733;0,776745902;13/10/2011
0,908485796;0,894751965;0,870998902;0,780658715;14/10/2011
0,896580176;0,881017124;0,860994247;0,773854778;17/10/2011
0,905994981;0,890929109;0,869835402;0,78338745;18/10/2011
0,913804478;0,908717924;0,873503367;0,78291687;19/10/2011
0,903208775;0,891262093;0,864389173;0,77606561;20/10/2011
0,917668104;0,906846082;0,881248334;0,793673425;21/10/2011
0,930290366;0,925960053;0,895959557;0,806473749;24/10/2011
0,929081653;0,9252382;0,894665989;0,806929747;25/10/2011
0,926630651;0,923773683;0,893691605;0,805586497;26/10/2011
0,930947911;0,926356052;0,894736305;0,803637432;27/10/2011
0,945464985;0,947824072;0,91460962;0,817903762;28/10/2011
0,942147562;0,944752281;0,911957791;0,814692755;31/10/2011
0,933910898;0,92914067;0,900801408;0,805392038;01/11/2011
0,9479004;0,94672249;0,916706274;0,819151982;03/11/2011
0,951548957;0,942422149;0,924227898;0,83018537;04/11/2011
0,958921105;0,938152307;0,935856407;0,843440315;07/11/2011
0,959915334;0,940000717;0,931618952;0,83330789;08/11/2011
0,946664186;0,919003364;0,915652896;0,817935327;09/11/2011
0,948026101;0,920677347;0,91550968;0,816522437;10/11/2011
0,952208805;0,92952431;0,922527767;0,833086254;11/11/2011
0,956703879;0,928750665;0,922674656;0,826629248;14/11/2011
0,953093891;0,926985036;0,928473064;0,838906005;16/11/2011
0,930848999;0,907634557;0,904102152;0,814024001;17/11/2011
0,930276128;0,90632692;0,90486136;0,814677127;18/11/2011
0,92601746;0,907227929;0,902883586;0,812793024;21/11/2011
0,923437504;0,898326615;0,896963405;0,803539277;22/11/2011
0,914316836;0,899378606;0,886504298;0,797576317;23/11/2011
0,919084216;0,899850568;0,891281075;0,800438167;24/11/2011
0,917672762;0,903593786;0,887474112;0,796826598;25/11/2011
0,927132443;0,920685698;0,900178867;0,815302912;28/11/2011
0,919751118;0,913321762;0,892326893;0,807252475;29/11/2011
0,950208349;0,938371634;0,922695379;0,834192729;30/11/2011
0,957652485;0,955405955;0,935452693;0,85148785;01/12/2011
0,950337442;0,944281291;0,931623002;0,852593345;02/12/2011
0,966265819;0,961668973;0,94548008;0,862619404;05/12/2011
0,975195753;0,972232982;0,956853645;0,878480125;06/12/2011
0,964508527;0,96205035;0,945734208;0,864229749;07/12/2011
0,966330881;0,953576096;0,941113707;0,851559982;08/12/2011
0,971213268;0,962409792;0,949859601;0,862634006;09/12/2011
0,965040039;0,960403183;0,9462371;0,862634006;12/12/2011
0,964899157;0,953063901;0,941630503;0,854336955;13/12/2011
0,960774327;0,946994361;0,933890183;0,843041368;14/12/2011
0,958347566;0,946726898;0,929177783;0,840066415;15/12/2011
0,959314345;0,949878346;0,926266132;0,832043844;16/12/2011
0,958296395;0,94382583;0,921835134;0,824639802;19/12/2011
0,979029767;0,957316758;0,943556053;0,847905656;20/12/2011
0,978550153;0,95052404;0,943642536;0,847811839;21/12/2011
0,985606015;0,954544648;0,95419399;0,862946361;22/12/2011
0,997585245;0,962888918;0,963943988;0,869369034;23/12/2011
0,995991514;0,962668441;0,962182109;0,86686799;26/12/2011
1,001275176;0,965675316;0,966369479;0,872105393;27/12/2011
0,985112149;0,951992176;0,945830584;0,848062484;28/12/2011
0,996118624;0,960628012;0,955229134;0,856605267;29/12/2011
0,996104581;0,975564521;0,951631783;0,856612918;02/01/2012
1,005992809;0,986638591;0,963547454;0,87226717;03/01/2012
1,012553626;0,98437762;0,971504461;0,877889002;04/01/2012
1,006639537;0,974561924;0,965286933;0,871322703;05/01/2012
1,002467014;0,975510206;0,964023207;0,874620584;06/01/2012
1,010063045;0,984440712;0,968928537;0,878028932;09/01/2012
1,012107758;0,989765247;0,969479482;0,877173862;10/01/2012
1,007019406;0,985196628;0,968538675;0,875307029;11/01/2012
1,010813928;0,987462045;0,965935555;0,874969496;12/01/2012
1,00568935;0,978941638;0,961496204;0,867024047;13/01/2012
1,009653822;0,983613717;0,970344704;0,878635149;16/01/2012
1,009422418;0,984044682;0,969471235;0,879383996;17/01/2012
1,020766494;1,006078845;0,982200283;0,891476864;18/01/2012
1,019283319;1,012002317;0,981668511;0,889370935;19/01/2012
1,026193133;1,019332778;0,987161759;0,893785778;20/01/2012
1,015810887;1,0125131;0,979319707;0,89284365;23/01/2012
1,01363917;1,011490643;0,980216935;0,895210495;24/01/2012
